# seed=42 mode=sniper file=bali.tif filesize=179378
trial	mode	filesize	off	bit	span	detected
0	sniper	179378	89474	1	1	true
1	sniper	179378	94873	3	1	false
2	sniper	179378	163273	2	1	false
3	sniper	179378	63798	7	1	false
4	sniper	179378	159416	5	1	false
5	sniper	179378	68643	1	1	false
6	sniper	179378	30936	6	1	false
7	sniper	179378	10803	3	1	false
8	sniper	179378	47606	4	1	false
9	sniper	179378	134419	4	1	false
10	sniper	179378	43516	7	1	false
11	sniper	179378	117514	3	1	false
12	sniper	179378	25131	1	1	false
13	sniper	179378	80080	3	1	false
14	sniper	179378	47060	0	1	false
15	sniper	179378	117834	3	1	false
16	sniper	179378	107212	6	1	false
17	sniper	179378	168087	0	1	false
18	sniper	179378	157272	7	1	false
19	sniper	179378	83232	6	1	false
20	sniper	179378	38054	3	1	false
21	sniper	179378	140913	4	1	false
22	sniper	179378	172134	2	1	false
23	sniper	179378	3958	0	1	false
24	sniper	179378	68043	5	1	false
25	sniper	179378	64506	0	1	false
26	sniper	179378	148190	5	1	false
27	sniper	179378	88904	4	1	false
28	sniper	179378	136019	4	1	false
29	sniper	179378	76953	7	1	false
30	sniper	179378	3830	1	1	false
31	sniper	179378	63415	3	1	false
32	sniper	179378	66780	0	1	false
33	sniper	179378	17795	0	1	true
34	sniper	179378	31382	4	1	false
35	sniper	179378	107451	7	1	false
36	sniper	179378	69142	6	1	false
37	sniper	179378	155132	5	1	false
38	sniper	179378	153705	6	1	false
39	sniper	179378	84592	0	1	false
40	sniper	179378	84653	7	1	false
41	sniper	179378	90402	7	1	false
42	sniper	179378	54277	6	1	false
43	sniper	179378	172547	0	1	false
44	sniper	179378	72226	0	1	false
45	sniper	179378	50958	6	1	false
46	sniper	179378	42937	3	1	false
47	sniper	179378	36001	5	1	false
48	sniper	179378	83751	2	1	false
49	sniper	179378	37899	2	1	false
50	sniper	179378	77039	2	1	true
51	sniper	179378	124275	3	1	false
52	sniper	179378	142388	7	1	false
53	sniper	179378	69246	2	1	false
54	sniper	179378	151938	6	1	false
55	sniper	179378	70717	7	1	false
56	sniper	179378	122885	6	1	false
57	sniper	179378	136195	6	1	false
58	sniper	179378	76481	1	1	false
59	sniper	179378	119115	2	1	false
60	sniper	179378	125059	4	1	false
61	sniper	179378	168936	2	1	false
62	sniper	179378	39694	5	1	false
63	sniper	179378	92980	7	1	false
64	sniper	179378	98228	0	1	true
65	sniper	179378	111444	0	1	false
66	sniper	179378	166203	3	1	false
67	sniper	179378	33300	7	1	false
68	sniper	179378	176018	1	1	false
69	sniper	179378	179353	3	1	false
70	sniper	179378	9917	2	1	false
71	sniper	179378	11185	6	1	false
72	sniper	179378	85269	2	1	false
73	sniper	179378	100299	4	1	false
74	sniper	179378	82603	2	1	false
75	sniper	179378	107449	2	1	false
76	sniper	179378	119582	0	1	false
77	sniper	179378	437	4	1	true
78	sniper	179378	148105	2	1	false
79	sniper	179378	141554	4	1	false
80	sniper	179378	93739	2	1	false
81	sniper	179378	43379	3	1	false
82	sniper	179378	96257	0	1	true
83	sniper	179378	1035	2	1	false
84	sniper	179378	15626	2	1	false
85	sniper	179378	2173	3	1	false
86	sniper	179378	153327	6	1	false
87	sniper	179378	114918	6	1	true
88	sniper	179378	177180	0	1	false
89	sniper	179378	81430	5	1	false
90	sniper	179378	50808	6	1	false
91	sniper	179378	66771	4	1	false
92	sniper	179378	59665	2	1	false
93	sniper	179378	36481	3	1	false
94	sniper	179378	67057	4	1	false
95	sniper	179378	160619	7	1	false
96	sniper	179378	67189	6	1	false
97	sniper	179378	152165	2	1	false
98	sniper	179378	170199	0	1	false
99	sniper	179378	170030	7	1	false
